 Year,Project, Company, Content_Type, Activity, Region, Program, Language,Amount
2012 - 2013,toiles du dodo (Les) II (121-200),7854528 Canada inc.,N/A,Production,Montreal,Performance Envelopes,French,373.431.00
2012 - 2013,Fée Eric II (16-41),Attraction Images Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,898.375.00
2012 - 2013,Air de famille (Un) I (1-13),Productions Images II inc. - cie fusionnée avec #116852,N/A,Production,Montreal,Performance Envelopes,French,414.750.00
2012 - 2013,Belles-Soeurs; la captation (Les),Zone3-XXXVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,65.000.00
2012 - 2013,Testeurs (Les) II (27-52),Zone3-XXXVII inc,N/A,Production,Montreal,Performance Envelopes,French,258.362.00
2012 - 2013,Ferme de Zénon (À la) II (73-135),SRC,N/A,Production,Montreal,Performance Envelopes,French,422.180.00
2012 - 2013,Fan Club V (157-182),Zone3-XXXVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,364.723.00
2012 - 2013,Infoman XIII (312-338),Zone3-XXXVII inc,N/A,Production,Montreal,Performance Envelopes,French,362.141.00
2012 - 2013,Auberge du chien noir XI (L’) (253-278),SRC,N/A,Production,Montreal,Performance Envelopes,French,500.000.00
2012 - 2013,Enquêtes II (9-14),Productions Hyperzoom Inc.,N/A,Production,Montreal,Performance Envelopes,French,285.500.00
2012 - 2013,Police Académie,Les Films Flow Inc,N/A,Production,Montreal,Performance Envelopes,French,159.250.00
2012 - 2013,Question de confiance (Une),4167554 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,145.440.00
2012 - 2013,MDR III (42-55),Attraction Images Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,274.424.00
2012 - 2013,Parent (Les ) V (85-104),Attraction Images Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,1.712.716
2012 - 2013,Chick`n Swell et cie (1-2),Encore Télévision II Inc.,N/A,Production,Montreal,Performance Envelopes,French,62.000.00
2012 - 2013,Rêves d’acteurs I (1-13),Encore Télévision I Inc.,N/A,Production,Montreal,Performance Envelopes,French,180.000.00
2012 - 2013,Prière de ne pas envoyer de fleurs II (14-28),Zone3-XXXVII inc,N/A,Production,Montreal,Performance Envelopes,French,213.080.00
2012 - 2013,Il était une fois dans le trouble IX (189-214),Zone3-XXXVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,775.309.00
2012 - 2013,Yamaska V (92-115),Fiction Yamaska V inc,N/A,Production,Montreal,Performance Envelopes,French,3.370.000
2012 - 2013,Taverne (1-3),9265-3989 Québec Inc,N/A,Production,Montreal,Performance Envelopes,French,155.000.00
2012 - 2013,Intimidés I (1-6),Attraction Images Productions III Inc.,N/A,Production,Montreal,Performance Envelopes,French,258.673.00
2012 - 2013,O’ II (21-42),Sovimed Inc.,N/A,Production,Montreal,Performance Envelopes,French,3.445.000
2012 - 2013,Fleuve et son île (Le),Les Films Perception Inc.,N/A,Production,Montreal,Performance Envelopes,French,152.215.00
2012 - 2013,Appendices (Les) V (49-60),Productions KOTV VI (PMB) inc.,N/A,Production,Montreal,Performance Envelopes,French,250.000.00
2012 - 2013,Mémoires vives I (1-25),Sphère Média 2011 Inc.,N/A,Production,Montreal,Performance Envelopes,French,2.703.691
2012 - 2013,Sang et Sortilèges,Sémaphore Films Inc.,N/A,Production,Montreal,Performance Envelopes,French,90.000.00
2012 - 2013,Toc Toc Toc VII (391-455),Téléfiction Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,640.695.00
2012 - 2013,Toc Toc Toc VII (391-455),Téléfiction Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,948.713.00
2012 - 2013,Un gars; c’est un gars!,Productions Films de l'Oeil Inc.,N/A,Production,Montreal,Performance Envelopes,French,156.800.00
2012 - 2013,Fidèles au poste! III (43-62),321 Productions Télévision Inc.,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2012 - 2013,Sur la piste des DJs,Périphéria Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,103.334.00
2012 - 2013,Sur la piste des DJs,Périphéria Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,15.000.00
2012 - 2013,Bingo ! I (1-3),Zone3-XXXVII inc,N/A,Production,Montreal,Performance Envelopes,French,154.743.00
2012 - 2013,Brigade Animo I (1-26),Zone3-XXXVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,232.191.00
2012 - 2013,Jamais sans nos enfants,Productions Telimagin inc.,N/A,Production,Montreal,Performance Envelopes,French,147.098.00
2012 - 2013,Richard Séguin “De Colères et d’Espoir”,Echo Média Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2012 - 2013,KARV; l’anti.gala 2012,Zone3-XXXVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,56.741.00
2012 - 2013,Body Language (1-6),Les Productions Lustitia Inc.,N/A,Production,Montreal,Performance Envelopes,French,358.341.00
2012 - 2013,Hot dog,Les Productions Orange Films Inc.,N/A,Production,Montreal,Performance Envelopes,French,280.000.00
2012 - 2013,Adam et Ève I (1-13),Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.889.881
2012 - 2013,Et Dieu créa… Laflaque IX (219-251),Productions Vox Populi 1 Inc.,N/A,Production,Montreal,Performance Envelopes,French,712.361.00
2012 - 2013,Cathy Gauthier; Décoiffe,Phaneuf Télévision II inc,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2012 - 2013,Amis d’Axelle (Les) II (41-80),Production Jaxa Inc.,N/A,Production,Montreal,Performance Envelopes,French,39.518.00
2012 - 2013,Tactik V (421-540),Vivaclic Inc.,N/A,Production,Montreal,Performance Envelopes,French,2.500.000
2012 - 2013,Croisée des chemins (La),Productions Ça Va Faire Inc.,N/A,Production,Montreal,Performance Envelopes,French,146.290.00
2012 - 2013,Luchador,Productions Pimiento Inc.,N/A,Production,Montreal,Performance Envelopes,French,85.000.00
2012 - 2013,Théâtre des opérations (Le) I (1-8),E2F Films Inc.,N/A,Production,Montreal,Performance Envelopes,French,475.000.00
2012 - 2013,Voulez-vous fêter? II (6-15),Zone3-XXXVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,447.463.00
2012 - 2013,Nouveaux paparazzis (Les),Les Productions A-4 inc.,N/A,Production,Montreal,Performance Envelopes,French,159.250.00
2012 - 2013,Plus grands que nature I (1-9),3809412 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,420.000.00
2012 - 2013,19-2 II (11 – 20) (v.f.),Productions 19-2 Inc.,N/A,Production,Montreal,Performance Envelopes,French,3.200.000
2012 - 2013,Lise Dion – Le temps qui court (1-2),6615694 Canada Inc. (6e Sens Télévision),N/A,Production,Montreal,Performance Envelopes,French,30.404.00
2012 - 2013,Toute la vérité IV (61-80),Sphère Média 2010 inc.,N/A,Production,Montreal,Performance Envelopes,French,4.627.381
2012 - 2013,Parcomètres Blues,7752199 Canada Corporation,N/A,Production,Montreal,Performance Envelopes,French,57.780.00
2012 - 2013,Un sur 2 I (1-10),Productions Un sur 2 inc.,N/A,Production,Montreal,Performance Envelopes,French,1.113.077
2012 - 2013,Simplement Vedette III (7-9),Trinôme II Inc.,N/A,Production,Montreal,Performance Envelopes,French,199.280.00
2012 - 2013,Trauma IV (33-42),Trauma IV Inc.,N/A,Production,Montreal,Performance Envelopes,French,2.970.626
2012 - 2013,Unité 9 I (1-25),Unite 9 Inc,N/A,Production,Montreal,Performance Envelopes,French,2.401.864
2012 - 2013,Mauvais karma III (27-36),Sphère Média 2002 Inc.,N/A,Production,Montreal,Performance Envelopes,French,2.331.723
2012 - 2013,Vrak la vie IV (79 – 104),Productions GFP Inc.,N/A,Production,Montreal,Performance Envelopes,French,528.800.00
2012 - 2013,Là est la question! II (14-26),Productions La Fête (Cinéastes) Inc.,N/A,Production,Montreal,Performance Envelopes,French,323.606.00
2012 - 2013,Galère (La) V (43-52),Productions La Galère IV inc. FUSIONNÉE dans #124165,N/A,Production,Montreal,Performance Envelopes,French,1.968.523
2012 - 2013,Et si I (1-14),PRODUCTIONS KOTV I INC.,N/A,Production,Montreal,Performance Envelopes,French,1.242.556
2011 - 2012,Star Académie V (1-10),Productions SA 5 Inc.,N/A,Production,Montreal,Performance Envelopes,French,856.707.00
2011 - 2012,Aimer pour de vrai,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,76.802.00
2011 - 2012,Steakhouse (Le),URBANIA TV Inc.,N/A,Production,Montreal,Performance Envelopes,French,75.300.00
2011 - 2012,Gars le soir (Un) IV (197-338),9067-2841 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.371.830
2011 - 2012,Tripeux (Les) IV (52-64),3809404 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,180.335.00
2011 - 2012,Défi des champions (Le) – Le grand variété du dimanche I (1-9),9230-1332 Québec Inc,N/A,Production,Montreal,Performance Envelopes,French,200.000.00
2011 - 2012,Les Stars Chantent Noël,Les Productions Select TV Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2011 - 2012,Simplement vedette II (4-6),Trinôme II Inc.,N/A,Production,Montreal,Performance Envelopes,French,199.280.00
2011 - 2012,Mario Pelchat – Je suis un chanteur,Les Productions Select TV Inc.,N/A,Production,Montreal,Performance Envelopes,French,5.000.00
2011 - 2012,Y Génération plaisir,7257244 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,62.720.00
2011 - 2012,Science ou fiction III (40-52),Les Productions Point de mire Inc.,N/A,Production,Montreal,Performance Envelopes,French,101.865.00
2011 - 2012,Comme par magie – Aux limites de l’illusion (spéciale 8),Téléfiction Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,44.750.00
2011 - 2012,Fausse couche vrai deuil,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,68.288.00
2011 - 2012,Jean-Michel Anctil – Tel quel,Productions Maricharlau Inc. (Les),N/A,Production,Montreal,Performance Envelopes,French,51.800.00
2011 - 2012,Mario Jean – Gare au gros nounours! (1-2),Encore Télévision I Inc.,N/A,Production,Montreal,Performance Envelopes,French,46.448.00
2011 - 2012,Ports d’attache III (27-39),DBC2 Inc.,N/A,Production,Montreal,Performance Envelopes,French,184.603.00
2011 - 2012,Miroir I (1-13),Les Productions Point de mire Inc.,N/A,Production,Montreal,Performance Envelopes,French,160.000.00
2011 - 2012,Mission Mayday I (1-26),SRC,N/A,Production,Montreal,Performance Envelopes,French,165.825.00
2011 - 2012,30 secondes pour changer le monde I (1-12),Productions GCIP Inc.,N/A,Production,Montreal,Performance Envelopes,French,275.000.00
2011 - 2012,Lettres au Père Noël,7715099 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,75.535.00
2011 - 2012,Elle a 40 ans (1-4),3809404 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,98.408.00
2011 - 2012,Rain; Comme une pluie dans tes yeux,Echo Média Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,42.000.00
2011 - 2012,Siouï-Bacon (Les) I (1-6),9223-3287 Québec Inc. (Wabanok),N/A,Production,Montreal,Performance Envelopes,French,251.549.00
2011 - 2012,Frontières du pas normal (Aux) I (1-13),9223-3287 Québec Inc. (Wabanok),N/A,Production,Montreal,Performance Envelopes,French,308.836.00
2011 - 2012,Design est partout (Le) I (1-15),7926766 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,334.000.00
2011 - 2012,Corno,Aetios Documentaires Inc.,N/A,Production,Montreal,Performance Envelopes,French,146.417.00
2011 - 2012,Faits d’hiver I (1-4),Blimp Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,120.000.00
2011 - 2012,C’est Noël avec Paul et Paul,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,69.350.00
2011 - 2012,Roc Star : les mineurs du Québec II (1-8),Productions GFP Inc.,N/A,Production,Montreal,Performance Envelopes,French,118.302.00
2011 - 2012,Aux pays des Têtes à claques I (9-13),6866964 Canada Inc. FUSIONNÉE dans Salambo Productions #136238,N/A,Production,Montreal,Performance Envelopes,French,90.210.00
2011 - 2012,Ferme de Zénon (À la) I (1-72),SRC,N/A,Production,Montreal,Performance Envelopes,French,500.000.00
2011 - 2012,Planches aux pieds (Les) (1-3),Quiet Motion Inc.,N/A,Production,Montreal,Performance Envelopes,French,154.964.00
2011 - 2012,G cuisiné III (161-225),Broco show inc.,N/A,Production,Montreal,Performance Envelopes,French,184.000.00
2011 - 2012,Adrénaline I (1-13),Images Pimiento 2 Inc.,N/A,Production,Montreal,Performance Envelopes,French,207.111.00
2011 - 2012,Voulez-vous fêter? I (1-5),Zone3 INC.,N/A,Production,Montreal,Performance Envelopes,French,240.000.00
2011 - 2012,Démasquées… Les Beautés,ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,57.179.00
2011 - 2012,Tu m’aimes-tu ? I (1-13),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.666.939
2011 - 2012,Gentleman (Le) III (17-24),Productions Gentilhomme Inc.,N/A,Production,Montreal,Performance Envelopes,French,2.681.999
2011 - 2012,Vie est un cirque (La) IV (19-24),Zone3-XXXVI Inc.,N/A,Production,Montreal,Performance Envelopes,French,120.000.00
2011 - 2012,Série Juste pour rire 2011 (1-8),Juste pour rire TV inc.,N/A,Production,Montreal,Performance Envelopes,French,410.000.00
2011 - 2012,Artiste du mois XII (1-12),TV MaxPlus Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,366.263.00
2011 - 2012,Méthane : rêve ou cauchemar (1-2),Idéacom International Inc.,N/A,Production,Montreal,Performance Envelopes,French,59.936.00
2011 - 2012,Méthane : rêve ou cauchemar (1-2),Idéacom International Inc.,N/A,Production,Montreal,Performance Envelopes,French,110.000.00
2011 - 2012,À coups de poings; à coups de coeur,3809412 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,64.000.00
2011 - 2012,Harold gentleman exterminateur,3809412 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,64.000.00
2011 - 2012,Prière de ne pas envoyer de fleurs I (1-13),Zone3-XXXV inc.,N/A,Production,Montreal,Performance Envelopes,French,190.000.00
2011 - 2012,Fraternité de la bière (La),9252-0824 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,78.310.00
2011 - 2012,Auberge du chien noir X (L’) (227-253),SRC,N/A,Production,Montreal,Performance Envelopes,French,750.000.00
2011 - 2012,Bye Bye 2011,Les Productions Bye Bye 2012 (Les Productions Bye Bye 2010 Inc.),N/A,Production,Montreal,Performance Envelopes,French,123.000.00
2011 - 2012,Guy Nantel : La réforme Nantel (1-2),Juste pour rire TV inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2011 - 2012,André Sauvé (1-2),Juste pour rire TV inc.,N/A,Production,Montreal,Performance Envelopes,French,13.887.00
2011 - 2012,JAM (Rock tes bas) I (1-10),Productions GFP Inc.,N/A,Production,Montreal,Performance Envelopes,French,163.737.00
2011 - 2012,Pee-Wee 3D (Les),Productions Pee Wee Inc.,N/A,Production,Montreal,Performance Envelopes,French,350.000.00
2011 - 2012,Affaire Dumont (L’),L'affaire Dumont Inc.,N/A,Production,Montreal,Performance Envelopes,French,358.557.00
2011 - 2012,Gars le soir (Un) III (141-196),9067-2841 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,544.284.00
2011 - 2012,Suuhk Suuhk Hockey,E2F Films Inc.,N/A,Production,Montreal,Performance Envelopes,French,109.499.00
2011 - 2012,Que Vive la Mer Morte,Intuitive Pictures II Inc.,N/A,Production,Montreal,Performance Envelopes,French,128.210.00
2011 - 2012,Un rêve américain,9098-2158 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,150.000.00
2012 - 2013,Cas de conscience I (1-10),Blimp Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,31.880.00
2011 - 2012,Cas de conscience I (1-10),Blimp Télé Inc.,N/A,Production,Montreal,Performance Envelopes,French,518.120.00
2011 - 2012,Bagarreurs Inc.,B-612 Médias Inc.,N/A,Production,Montreal,Performance Envelopes,French,139.700.00
2011 - 2012,Messmer Drôlement mystérieux (3-4-5),Entourage Télévision Inc.,N/A,Production,Montreal,Performance Envelopes,French,47.991.00
2011 - 2012,Nord au coeur (Le),Films du Rapide-Blanc Inc.,N/A,Production,Montreal,Performance Envelopes,French,55.000.00
2011 - 2012,Théo II (66-130),TVA Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,103.844.00
2011 - 2012,Dernier cabaret (Le),9249-7189 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,64.793.00
2011 - 2012,Sexe autour du monde (Le) III (17-24),9098-2158 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,166.000.00
2011 - 2012,Bar ouvert I (1-25),Zone3-XXXV inc.,N/A,Production,Montreal,Performance Envelopes,French,300.000.00
2011 - 2012,Devine qui vient jouer II (24-49),Les Productions Point de mire Inc.,N/A,Production,Montreal,Performance Envelopes,French,209.245.00
2011 - 2012,Burlesque-l’art du jeu et de la séduction (1-3),Productions Images II inc. - cie fusionnée avec #116852,N/A,Production,Montreal,Performance Envelopes,French,71.522.00
2011 - 2012,Mixmania III (22-31),ZONE3-XXVIII inc.,N/A,Production,Montreal,Performance Envelopes,French,567.746.00
2011 - 2012,Mon meilleur ami I (1-5),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.531.754
2011 - 2012,Destination cauchemar II (9-16),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,564.052.00
2011 - 2012,Michel Barrette: Drôle de journée,Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,37.262.00
2011 - 2012,Dernier des fantassins (Le),Les Productions Avanti Ciné Vidéo Inc.,N/A,Production,Montreal,Performance Envelopes,French,106.039.00
2011 - 2012,Tranches de vie IV (41-49),TVA Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,935.000.00
2011 - 2012,Reine du foyer (1-3),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,155.000.00
2011 - 2012,Papa a raison I (1-3),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,155.000.00
2011 - 2012,Fugitifs (Les) I (1-8),Attraction Images Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,496.866.00
2011 - 2012,Bookaboo I (1-26),8141282 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,156.000.00
2011 - 2012,Bookaboo I (1-26),8141282 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,198.000.00
2011 - 2012,Opération Police I (1-10),Sovitel Inc.,N/A,Production,Montreal,Performance Envelopes,French,654.676.00
2011 - 2012,En direct de l’univers III (49-74),Attraction Images Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,946.643.00
2011 - 2012,Différence (La),7257244 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2011 - 2012,Voulez-vous danser ? III (22-31),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,470.182.00
2011 - 2012,Parent (Les) IV (65-84),Attraction Images Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,1.668.774
2011 - 2012,Fée Éric I (1-15),Attraction Images Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,575.652.00
2011 - 2012,T’es où Théo? II (66-130),TVA Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2011 - 2012,1;2;3… Géant! II (66-130),Téléfiction Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,491.634.00
2011 - 2012,1;2;3… Géant! II (66-130),Téléfiction Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,885.182.00
2011 - 2012,Paparadis I (1-15),B-612 Médias Inc.,N/A,Production,Montreal,Performance Envelopes,French,98.607.00
2011 - 2012,P’tit dernier pour la route (Un),4472438 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,46.438.00
2011 - 2012,Grands Défis (Les) I (1-9),Attraction Images Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,411.241.00
2011 - 2012,30 Vies II (61-180),30 Vies II Inc.,N/A,Production,Montreal,Performance Envelopes,French,1.199.361
2011 - 2012,Main… et les autres (La),Les Films Perception Inc.,N/A,Production,Montreal,Performance Envelopes,French,153.575.00
2011 - 2012,Et que ça roule,Vivazoom Inc.,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2011 - 2012,Les Bouncers,Vivazoom Inc.,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2011 - 2012,Infoman XII (285-311),Zone3-XXXV inc.,N/A,Production,Montreal,Performance Envelopes,French,361.383.00
2011 - 2012,Légendes urbaines III (21-30),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,545.525.00
2011 - 2012,Contrat (Le) I (1-10),7257244 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,659.167.00
2011 - 2012,Ginette Reno – La musique en moi,Les Productions Select TV Inc.,N/A,Production,Montreal,Performance Envelopes,French,8.856.00
2011 - 2012,MDR II (16-41),Attraction Images Productions II inc.,N/A,Production,Montreal,Performance Envelopes,French,497.075.00
2011 - 2012,Testeurs (Les) I (1-26),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,258.364.00
2011 - 2012,Et Dieu créa… Laflaque VIII (186 – 218),Productions Vox Populi 1 Inc.,N/A,Production,Montreal,Performance Envelopes,French,715.661.00
2011 - 2012,Mystère Atlit Yam (Le),9249-3931 Québec Inc.,N/A,Production,Montreal,Performance Envelopes,French,184.000.00
2011 - 2012,Grenade avec ça ? (Une) X (247-265),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,486.158.00
2011 - 2012,Fan club IV (121-156),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,384.928.00
2011 - 2012,Secondaire 5,I Studio Cinéma Télévision II Inc.,N/A,Production,Montreal,Performance Envelopes,French,125.045.00
2011 - 2012,Rivières perdues,Catbird Films Inc.,N/A,Production,Montreal,Performance Envelopes,French,191.331.00
2011 - 2012,Il était une fois dans le trouble VIII (163-188),ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,776.142.00
2011 - 2012,Aux limites de la scène,4181743 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,41.500.00
2011 - 2012,Dossiers Mystère III (15-27),Planète Bleue Télévision Inc.,N/A,Production,Montreal,Performance Envelopes,French,575.678.00
2011 - 2012,KARV; l’anti.gala 2011,ZONE3-XXXIV Inc.,N/A,Production,Montreal,Performance Envelopes,French,54.475.00
2011 - 2012,Toc Toc Toc VI (326-390),Téléfiction Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,500.000.00
2011 - 2012,Toc Toc Toc VI (326-390),Téléfiction Productions inc.,N/A,Production,Montreal,Performance Envelopes,French,1.007.250
2011 - 2012,Ils dansent (13),Productions Images III inc. - cie fusionnée avec #116852,N/A,Production,Montreal,Performance Envelopes,French,120.277.00
2011 - 2012,Années (Les) III (32-44),TV MaxPlus Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,320.367.00
2011 - 2012,Uranium; P.Q.,AD HOC Films bis Inc.,N/A,Production,Montreal,Performance Envelopes,French,110.487.00
2011 - 2012,Ados; d’hier à aujourd’hui,N12 Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,56.366.00
2011 - 2012,Galet déconcertant (Le),3809412 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,100.000.00
2011 - 2012,Ils dansent I (1-12),Productions Images III inc. - cie fusionnée avec #116852,N/A,Production,Montreal,Performance Envelopes,French,358.614.00
2011 - 2012,“Ça sent drôle!” I (1-13),Productions Images III inc. - cie fusionnée avec #116852,N/A,Production,Montreal,Performance Envelopes,French,248.425.00
2011 - 2012,Joanna Comtois; l’espoir d’une petite fille extraordinaire,Les Productions des trois dragons Inc.,N/A,Production,Montreal,Performance Envelopes,French,74.207.00
2011 - 2012,O’ I (1-20),Sovicom Inc.,N/A,Production,Montreal,Performance Envelopes,French,3.063.978
2011 - 2012,Autiste au tambour (L’),3976246 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,150.195.00
2011 - 2012,Automne de pougne (L’),CarpeDiem Film & TV (Pougne) Inc.,N/A,Production,Montreal,Performance Envelopes,French,10.000.00
2011 - 2012,Yamaska IV (68-91),Fiction Yamaska IV inc,N/A,Production,Montreal,Performance Envelopes,French,3.365.585
2011 - 2012,Amis d’Axelle (Les) I (1-40),Production Jaxa Inc.,N/A,Production,Montreal,Performance Envelopes,French,31.111.00
2011 - 2012,Trains de la vie (Les),Productions InformAction Inc.,N/A,Production,Montreal,Performance Envelopes,French,143.496.00
2011 - 2012,Notre culture à l’étranger,7790791 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,25.000.00
2011 - 2012,Belle et Bum IX (203-227),Studios Datsit Un Inc.,N/A,Production,Montreal,Performance Envelopes,French,465.000.00
2011 - 2012,Hélico tout terrain I (1-6),4548272 Canada inc.,N/A,Production,Montreal,Performance Envelopes,French,536.542.00
2013 - 2014,Poker,Ubique Film Inc,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2011 - 2012,Poker,Ubique Film Inc,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2011 - 2012,Au défi I (1-26),Les Productions Point de mire Inc.,N/A,Production,Montreal,Performance Envelopes,French,409.128.00
2011 - 2012,Mort ou vif,4472438 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,15.000.00
2011 - 2012,Mort ou vif,4472438 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,36.300.00
2011 - 2012,toiles du dodo (Les) I (1-120),7854323 Canada Inc. - FUSIONNÉE,N/A,Production,Montreal,Performance Envelopes,French,515.451.00
2011 - 2012,L’autre Mari,Productions Pimiento Inc.,N/A,Production,Montreal,Performance Envelopes,French,113.340.00
2011 - 2012,Fidèles au poste! II (22-42),321 Productions Télévision Inc.,N/A,Production,Montreal,Performance Envelopes,French,194.326.00
2011 - 2012,Longueur de l’alphabet (La),Les Films Compass Inc,N/A,Production,Montreal,Performance Envelopes,French,110.607.00
2011 - 2012,Soldats de Jésus (Les),Productions Pimiento Inc.,N/A,Production,Montreal,Performance Envelopes,French,148.136.00
2011 - 2012,Fidélité + ou – (La),7847041Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,66.226.00
2013 - 2014,Chacun son combat,Ubique Film Inc,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2011 - 2012,Chacun son combat,Ubique Film Inc,N/A,Production,Montreal,Performance Envelopes,French,60.000.00
2011 - 2012,Filiatrault,Zone3-XXXV inc.,N/A,Production,Montreal,Performance Envelopes,French,88.000.00
2011 - 2012,Cris du coeur (1-4),3809412 Canada Inc.,N/A,Production,Montreal,Performance Envelopes,French,262.059.00
2011 - 2012,Brique à la fois (Une),Productions Cinéfort Inc.,N/A,Production,Montreal,Performance Envelopes,French,70.000.00
2011 - 2012,Bidonville : Architectures de la ville future,9249-9847 Québec inc.,N/A,Production,Montreal,Performance Envelopes,French,160.586.00
2011 - 2012,Francofolies 2011 (1-2),Echo Média Productions Inc.,N/A,Production,Montreal,Performance Envelopes,French,30.000.00
2011 - 2012,Sur les étages,Amazone Film Inc.,N/A,Production,Montreal,Performance Envelopes,French,76.594.00
2011 - 2012,In Memoriam (1-3),Sovicom Inc.,N/A,Production,Montreal,Performance Envelopes,French,152.351.00
2011 - 2012,Trauma III (21-32),Trauma III Inc.,N/A,Production,Montreal,Performance Envelopes,French,3.642.000
