Title,Description,link
Manufacturing sales by industry and province| monthly (dollars unless otherwise noted) (16-10-0048-01),Monthly provincial and territorial manufacturing sales| by North American Industry Classification System (NAICS)| data in thousands of dollars. Unadjusted and seasonally adjusted values available from ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004801
Manufacturers' sales| inventories| orders and inventory to sales ratios| by industry (dollars unless otherwise noted) (16-10-0047-01),Monthly Canadian manufacturers' sales| new orders| unfilled orders| raw materials| goods or work in process| finished goods| total inventories| inventory to sales ratios and finished goods to sales ratios ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610004701
Knowledge of official languages by selected arts and culture occupations| 2011 and 2016 (15-10-0017-01),Provides information on knowledge of official languages for workers employed in selected arts and culture occupations. These data are based on the 2016 Census of Population as well as the 2011 National ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1510001701
Frequency of French use at work by selected arts and culture occupations| Canada outside Quebec| 2011 and 2016 (15-10-0018-01),Provides information on the total| primary| equal and secondary use of French at work in Canada outside Quebec for workers employed in selected arts and culture occupations| please see footnotes for more ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1510001801
Frequency of English use at work by selected arts and culture occupations| Quebec| 2011 and 2016 (15-10-0019-01),Provides information on the total| primary| equal and secondary use of English at work in Quebec for workers employed in selected arts and culture occupations| please see footnotes for more details. These ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1510001901
First Official Language spoken of workers by selected arts and culture occupations| 2011 and 2016 (15-10-0016-01),Provides information on the first official language spoken for workers employed in selected arts and culture occupations. These data are based on the 2011 National Household Survey and the 2016 Census ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1510001601
Frequency of French use at work by selected arts and culture occupations| Quebec| 2011 and 2016 (15-10-0020-01),Provides information on the total| primary| equal and secondary use of French at work in Quebec for workers employed in selected arts and culture occupations| please see footnotes for more details. These ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1510002001
International trade of culture and sport products| by domain and sub-domain| and trading partner (12-10-0117-01),International trade of culture and sport products| by trading partner| Canada| annual.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210011701
Canadian international merchandise trade by industry for all countries (12-10-0136-01),Canadian International merchandise trade data grouped by North American Industry Classification System (NAICS) codes of the 2017 NAICS structure version 2. The detailed NAICS codes (all levels) are from ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1210013601
Industrial product price index| by product| monthly (18-10-0266-01),Industrial product price index (IPPI)| by product by North American Product Classification System (NAPCS) 2017 Version 2.0. Monthly data are available from January 1956. The table presents data for the ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810026601
Infographics,Browse our infographics by subject.,https://www150.statcan.gc.ca/n1/pub/11-627-m/index-eng.htm
Industrial product price index| by industry| monthly (18-10-0267-01),Industrial product price index (IPPI) by industry| by North American Industry Classification System (NAICS) 2017 Version 3.0. Monthly data are available from January 1956. The table presents data for the ...,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810026701
Job vacancies| proportion of job vacancies and average offered hourly wage by selected characteristics| quarterly| unadjusted for seasonality (14-10-0328-01),Number of job vacancies| proportion of job vacancies and average offered hourly wage by selected characteristics and National Occupational Classification (NOC)| last 5 quarters.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410032801
Job vacancies and average offered hourly wage by occupation (broad occupational category)| quarterly| unadjusted for seasonality (14-10-0356-01),Number of job vacancies and average offered hourly wage by one-digit National Occupational Classification (NOC) code| last 5 quarters.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410035601
Financial impacts of the pandemic on the culture| arts| entertainment and recreation industries in 2020 (45-28-0001202100100033),The COVID-19 pandemic abruptly disrupted many businesses that create and distribute arts and culture or offer recreational activities. This study looks at preliminary operating revenue estimates and labour-related ...,https://www150.statcan.gc.ca/n1/pub/45-28-0001/2021001/article/00033-eng.htm
Canadian Business Counts| without employees| June 2021 (33-10-0396-01),Canadian Business Counts| location counts without employees| by North American Industry Classification System (NAICS)| Canada and provinces| June 2021.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310039601
Canadian Business Counts| with employees| June 2021 (33-10-0395-01),Canadian Business Counts| location counts with employees| by employment size ranges and North American Industry Classification System (NAICS)| Canada and provinces| June 2021.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3310039501
Heard on the Radio and seen on TV: Radio and TV Broadcasting| 2020 (11-627-M2021042),This infographic presents data on the Radio and Television broadcasting industries in 2020. It features data on COVID subsidies received during the broadcasting year| employment level| ad revenue and programming ...,https://www150.statcan.gc.ca/n1/pub/11-627-m/11-627-m2021042-eng.htm
The Daily — Provincial and Territorial Cultural Indicators| 2019,Release published in The Daily – Statistics Canada's official release bulletin,https://www150.statcan.gc.ca/n1/daily-quotidien/210527/dq210527b-eng.htm
NAICS 2017 Version 3.0 - 512190 - Post-production and other motion picture and video industries - All examples,This Canadian industry comprises establishments| not classified to any other Canadian industry| primarily engaged in providing post-production services and services to the motion picture and video industries.,http://www23.statcan.gc.ca/imdb/p3VD.pl?CLV=5&CPV=512190&CST=01012017&CVD=1182718&Function=getAllExample&MLV=5&TVD=1181553&V=370331&VST=01012017
Culture and sport indicators by domain and sub-domain| by province and territory| industry perspective (36-10-0453-01),Gross domestic product| output and jobs for sport and culture| industry perspective| annual.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610045301
Culture and sport indicators by domain and sub-domain| by province and territory| product perspective (36-10-0452-01),Gross domestic product| output and jobs for sport and culture| product perspective| annual.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610045201
NAICS 2017 Version 3.0 - 512120 - Motion picture and video distribution - All examples,This Canadian industry comprises establishments primarily engaged in acquiring distribution rights and distributing film and video productions to motion picture theatres| television networks and stations| and other exhibitors.,http://www23.statcan.gc.ca/imdb/p3VD.pl?CLV=5&CPV=512120&CST=01012017&CVD=1182718&Function=getAllExample&MLV=5&TVD=1181553&V=370329&VST=01012017
