Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
Je suis prêt pour une fête!,GAPC Entertainment (I'm Ready) Inc.,2018 - 2019,N/A,$6;000.00,N/A,Production,Children's & Youth,N/A,N/A,Ontario,Performance Envelopes,Contracted,French,N/A
Je suis prêt! – MN,GAPC Entertainment (I'm Ready) Inc.,2018 - 2019,Web Series,$99;760.00,N/A,Production,Children's & Youth,Streaming,N/A,Ontario,Performance Envelopes,Contracted,French,N/A
Alerte Amber I,Productions Pixcom Inc.,2018 - 2019,N/A,$64;557.00,N/A,Development,Drama,N/A,N/A,Montreal,Development Envelopes,Contracted,French,N/A
Probable Cause,Vigilance Productions Inc.,2018 - 2019,N/A,$150;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Art de la chasse (L’),9184-1031 Québec inc.,2018 - 2019,N/A,$64;208.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
ALT III,PRODUCTIONS KOTV V INC.,2018 - 2019,N/A,$373;485.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Éboueurs (Les) I – MN,Datsit Studios Quinze Inc.,2018 - 2019,Video,$42;425.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Food Stories,535835 Yukon Inc.,2018 - 2019,N/A,$32;025.00,N/A,Development,Documentary,N/A,N/A,Yukon,Northern Incentive,Contracted,English,N/A
Éboueurs (Les) I,Datsit Studios Quinze Inc.,2018 - 2019,N/A,$196;715.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Big Con (The),Mighty Yell Studios Inc.,2018 - 2019,Game,$166;825.00,N/A,Production,N/A,Application,N/A,Toronto,Commercial Projects Pilot Program,Contracted,English,N/A
Storyteller – The Seven Ravens,Félix & Paul Studios Inc.,2018 - 2019,Rich Interactive Media,$1;200;000.00,N/A,Production,N/A,Application,N/A,Montreal,Commercial Projects Pilot Program,Contracted,English,N/A
Card Saga,gopokyo Inc.,2018 - 2019,Game,$455;524.00,N/A,Production,N/A,Downloadable,N/A,Nova Scotia,Commercial Projects Pilot Program,Contracted,Bilingual,N/A
Card Saga,gopokyo Inc.,2018 - 2019,Game,$227;762.00,N/A,Production,N/A,Downloadable,N/A,Nova Scotia,Commercial Projects Pilot Program,Contracted,Bilingual,N/A
Dawn of the Monsters,13AM Games Inc.,2018 - 2019,Game,$230;000.00,N/A,Production,N/A,Downloadable,N/A,Toronto,Commercial Projects Pilot Program,Contracted,English,N/A
FIS World Cup Ski Racing,Session Games Inc.,2018 - 2019,Game,$1;129;675.00,N/A,Production,N/A,Downloadable,N/A,British Columbia,Commercial Projects Pilot Program,Contracted,English,N/A
Ink (The) I,SEVEN24 Films Inc.,2018 - 2019,N/A,$82;550.00,N/A,Development,Drama,N/A,N/A,Alberta,Development Envelopes,Contracted,English,N/A
Blasters of the Universe; The Sequels,Secret Location Inc.,2018 - 2019,Game,$1;200;000.00,N/A,Production,N/A,Application,N/A,Toronto,Commercial Projects Pilot Program,Contracted,English,N/A
Slugslinger VR,Dark Slope Studios Inc.,2018 - 2019,Rich Interactive Media,$376;000.00,N/A,Production,N/A,Downloadable,N/A,Ontario,Commercial Projects Pilot Program,Contracted,English,N/A
Numen 9,Lofty Sky Entertainment Inc.,2018 - 2019,Game,$827;780.00,N/A,Production,N/A,Application,N/A,Toronto,Commercial Projects Pilot Program,Contracted,English,N/A
Longue remontée (La),GROUPE PVP INC.,2018 - 2019,N/A,$37;500.00,N/A,Development,Documentary,N/A,N/A,Quebec,Quebec French Regional Development,Contracted,French,N/A
Expérience Messmer (L’) IV,Entourage Télévision III Inc.,2018 - 2019,N/A,$5;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Ride and Shine I,Datsit Studios Quinze Inc.,2018 - 2019,N/A,$194;984.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
End of Days,Sculpin QA Limited,2018 - 2019,Game,$502;292.00,N/A,Production,N/A,Downloadable,N/A,Newfoundland & Labrador,Commercial Projects Pilot Program,Contracted,Bilingual,N/A
End of Days,Sculpin QA Limited,2018 - 2019,Game,$251;146.00,N/A,Production,N/A,Downloadable,N/A,Newfoundland & Labrador,Commercial Projects Pilot Program,Contracted,Bilingual,N/A
À la valdrague III,Les Productions Mozus Productions Inc.,2018 - 2019,N/A,$13;772.00,N/A,Development,Drama,N/A,N/A,New Brunswick,Francophone Minority,Contracted,French,N/A
The Woods,Shamagical Productions Inc.,2018 - 2019,N/A,$21;682.00,N/A,Marketing,Children's & Youth,N/A,N/A,Ontario,Export Pilot Program,Contracted,English,N/A
Secret Ops,Saloon Media Inc.,2018 - 2019,N/A,$34;480.00,N/A,Marketing,Documentary,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Stadium Secrets,Saloon Media Inc.,2018 - 2019,N/A,$46;795.00,N/A,Marketing,Documentary,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Kids and Pets,Hop To It Productions Inc.,2018 - 2019,N/A,$29;807.00,N/A,Marketing,Documentary,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Dans l’eau chaude,Bellefeuille Production Ltée,2018 - 2019,N/A,$48;038.00,N/A,Development,Drama,N/A,N/A,New Brunswick,Francophone Minority,Contracted,French,N/A
Pris dans la toile,Attraction Images inc.,2018 - 2019,N/A,$11;000.00,N/A,Development,Documentary,N/A,N/A,Montreal,Development Envelopes,Contracted,French,N/A
Passe au salon,Attraction Images inc.,2018 - 2019,N/A,$10;000.00,N/A,Development,Documentary,N/A,N/A,Montreal,Development Envelopes,Contracted,French,N/A
Eat Grow Love I,Less Bland Productions Inc.,2018 - 2019,N/A,$32;582.00,N/A,Marketing,Documentary,N/A,N/A,British Columbia,Export Pilot Program,Contracted,English,N/A
Hollywood: Immigrant Nation,Less Bland Productions Inc.,2018 - 2019,N/A,$26;345.00,N/A,Marketing,Documentary,N/A,N/A,British Columbia,Export Pilot Program,Contracted,English,N/A
Chasing the Ice,Blue Ant HDTV Productions Inc.,2018 - 2019,N/A,$68;669.00,N/A,Marketing,Documentary,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Son of a Smaller Hero I,PMA Productions Inc.,2018 - 2019,N/A,$75;000.00,N/A,Marketing,Drama,N/A,N/A,Montreal,Export Pilot Program,Contracted,English,N/A
On vient tous d’ailleurs,DBC2 Inc.,2018 - 2019,N/A,$75;000.00,N/A,Marketing,Documentary,N/A,N/A,Montreal,Export Pilot Program,Contracted,French,N/A
Secrets I,Blue Ant HDTV Productions Inc.,2018 - 2019,N/A,$68;669.00,N/A,Marketing,Documentary,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Rehab,Blue Ant Media PRODCO Inc,2018 - 2019,N/A,$69;155.00,N/A,Marketing,Drama,N/A,N/A,Ontario,Export Pilot Program,Contracted,English,N/A
Tattie Bogles,Less Bland Productions Inc.,2018 - 2019,N/A,$37;879.00,N/A,Marketing,Drama,N/A,N/A,British Columbia,Export Pilot Program,Contracted,English,N/A
Subjects of Desire,Hungry Eyes Media Inc.,2018 - 2019,N/A,$57;593.00,N/A,Marketing,Documentary,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
#relationshipgoals,Hungry Eyes Media Inc.,2018 - 2019,N/A,$46;717.00,N/A,Marketing,Drama,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Wild (The),Vertical Productions Inc.,2018 - 2019,N/A,$69;027.00,N/A,Marketing,Drama,N/A,N/A,Nova Scotia,Export Pilot Program,Contracted,English,N/A
Jenny III,Productions Avenida inc.,2018 - 2019,N/A,$43;582.00,N/A,Marketing,Children's & Youth,N/A,N/A,Montreal,Export Pilot Program,Contracted,French,N/A
Biscuit et Cassonade I,Productions Echo Média Biscuit et Cassonade Inc.,2018 - 2019,N/A,$75;000.00,N/A,Marketing,Children's & Youth,N/A,N/A,Montreal,Export Pilot Program,Contracted,French,N/A
Boris Volkoff: The “Father of Canadian Ballet”,ECG Productions Ltd.,2018 - 2019,N/A,$132;172.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Russian,N/A
Cast of Clowns,ECG Productions Ltd.,2018 - 2019,N/A,$88;379.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Tagalog,N/A
I’ll Build Canada,ECG Productions Ltd.,2018 - 2019,N/A,$108;770.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Ukrainian,N/A
Tendenza: La modernizzasione dell’industria tessile – DM,Telelatino Network Inc.,2018 - 2019,Rich Interactive Media,$100;000.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Tendenza: La modernizzasione dell’industria tessile,Telelatino Network Inc.,2018 - 2019,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Portée en folie (La) I,GALA PRODUCTIONS INC.,2018 - 2019,N/A,$74;996.00,N/A,Marketing,Children's & Youth,N/A,N/A,Quebec,Export Pilot Program,Contracted,French,N/A
Lies I,Entertainment One Television Productions Ltd.,2018 - 2019,N/A,$30;193.00,N/A,Marketing,Drama,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Injustice,Entertainment One Television Productions Ltd.,2018 - 2019,N/A,$29;668.00,N/A,Marketing,Drama,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Lost Generation (A),Cayenne Médias Inc.,2018 - 2019,N/A,$71;451.00,N/A,Marketing,Documentary,N/A,N/A,Quebec,Export Pilot Program,Contracted,English,N/A
B Division,Entertainment One Television Productions Ltd.,2018 - 2019,N/A,$21;793.00,N/A,Marketing,Drama,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Fortunate Son I,SEVEN24 Films Inc.,2018 - 2019,N/A,$41;715.00,N/A,Marketing,Drama,N/A,N/A,Alberta,Export Pilot Program,Contracted,English,N/A
Chi ha ucciso il mio bisnonno? – DM,Telelatino Network Inc.,2018 - 2019,Rich Interactive Media,$100;000.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Chi ha ucciso il mio bisnonno?,Telelatino Network Inc.,2018 - 2019,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Second Chance,Muse Entertainment Enterprises Inc.,2018 - 2019,N/A,$75;000.00,N/A,Marketing,Drama,N/A,N/A,Montreal,Export Pilot Program,Contracted,English,N/A
What’s Your Name,ECG Productions Ltd.,2018 - 2019,N/A,$130;009.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Arabic,N/A
Kids’ Pet Club I,Hop To It Productions Inc.,2018 - 2019,N/A,$46;148.00,N/A,Marketing,Children's & Youth,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
Marika III,Téléfiction Productions inc.,2018 - 2019,N/A,$22;769.00,N/A,Marketing,Children's & Youth,N/A,N/A,Montreal,Export Pilot Program,Contracted,French,N/A
Lone Wolf,Lone Wolf a Movie Company Inc.,2018 - 2019,N/A,$19;026.00,N/A,Marketing,Drama,N/A,N/A,Alberta,Export Pilot Program,Contracted,English,N/A
Boumzi I,Téléfiction Productions inc.,2018 - 2019,N/A,$37;857.00,N/A,Marketing,Children's & Youth,N/A,N/A,Montreal,Export Pilot Program,Contracted,French,N/A
Il Confino: Una storia mai conclusa – DM,Telelatino Network Inc.,2018 - 2019,Rich Interactive Media,$100;000.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Il Confino: Una storia mai conclusa,Telelatino Network Inc.,2018 - 2019,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Crickets I,Pier 21 Films Ltd.,2018 - 2019,N/A,$60;197.00,N/A,Marketing,Drama,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
What’s Your Name – DM,ECG Productions Ltd.,2018 - 2019,Video,$96;394.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Arabic,N/A
FACES: Power of the Portrait,Off Island Films Ltd.,2018 - 2019,N/A,$75;000.00,N/A,Marketing,Documentary,N/A,N/A,British Columbia,Export Pilot Program,Contracted,English,N/A
THC INC.,Phare-Est Média Inc.,2018 - 2019,N/A,$17;850.00,N/A,Development,Documentary,N/A,N/A,New Brunswick,Francophone Minority,Contracted,French,N/A
I’ll Build Canada – DM,ECG Productions Ltd.,2018 - 2019,Video,$96;034.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Ukrainian,N/A
Point Of View (POV) I,Saloon Media Inc.,2018 - 2019,N/A,$10;000.00,N/A,Development,Children's & Youth,N/A,N/A,Toronto,Development Envelopes,Contracted,French,N/A
Under the Aurora,Sagafish Media Inc.,2018 - 2019,N/A,$60;000.00,N/A,Marketing,Documentary,N/A,N/A,Yukon,Export Pilot Program,Contracted,English,N/A
Cast of Clowns – DM,ECG Productions Ltd.,2018 - 2019,Video,$100;000.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Tagalog,N/A
Légende des Mococos (La),Productions KOTV Inc.,2018 - 2019,N/A,$75;000.00,N/A,Marketing,Children's & Youth,N/A,N/A,Montreal,Export Pilot Program,Contracted,French,N/A
Perseguidos II – DM,Telelatino Network Inc.,2018 - 2019,Rich Interactive Media,$100;000.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Spanish,N/A
Perseguidos II,Telelatino Network Inc.,2018 - 2019,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Spanish,N/A
Woolly Woolly I,GROUPE PVP INC.,2018 - 2019,N/A,$29;925.00,N/A,Marketing,Children's & Youth,N/A,N/A,Quebec,Export Pilot Program,Contracted,French,N/A
Boris Volkoff: The “Father of Canadian Ballet” – DM,ECG Productions Ltd.,2018 - 2019,Video,$100;000.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Russian,N/A
New Money I (prev. Powerball),Conquering Lion Pictures Inc.,2018 - 2019,N/A,$50;348.00,N/A,Marketing,Drama,N/A,N/A,Toronto,Export Pilot Program,Contracted,English,N/A
PALS I,TJ Content Ltd.,2018 - 2019,N/A,$23;041.00,N/A,Marketing,Drama,N/A,N/A,Ontario,Export Pilot Program,Contracted,English,N/A
Ortona: La Stalingrado Canadese – DM,Telelatino Network Inc.,2018 - 2019,Rich Interactive Media,$100;000.00,N/A,Production,Documentary,Website,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Ortona: La Stalingrado Canadese,Telelatino Network Inc.,2018 - 2019,N/A,$200;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Mr. S e la scienza del volo – DM,Telelatino Network Inc.,2018 - 2019,Rich Interactive Media,$100;000.00,N/A,Production,Children's & Youth,Website,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
Mr. S e la scienza del volo,Telelatino Network Inc.,2018 - 2019,N/A,$200;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Diverse Languages,Contracted,Italian,N/A
En tout cas II,EN TOUT CAS SAISON 2 INC.,2018 - 2019,N/A,$250;000.00,N/A,Production,Drama,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
En direct de l’univers X,Attraction Images Productions V Inc.,2018 - 2019,N/A,$192;000.00,N/A,Production,Variety & Performing Arts,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
En direct de l’univers X – MN,Attraction Images Productions V Inc.,2018 - 2019,Rich Interactive Media,$22;000.00,N/A,Production,Variety & Performing Arts,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Mi nombre es Ripley IV – DM,Telelatino Network Inc.,2018 - 2019,Rich Interactive Media,$100;000.00,N/A,Production,Children's & Youth,Website,N/A,Toronto,Diverse Languages,Contracted,Spanish,N/A
Mi nombre es Ripley IV,Telelatino Network Inc.,2018 - 2019,N/A,$200;000.00,N/A,Production,Children's & Youth,N/A,N/A,Toronto,Diverse Languages,Contracted,Spanish,N/A
Rescuing Rex,In the Vault Productions Inc.,2018 - 2019,N/A,$10;000.00,N/A,Development,Documentary,N/A,N/A,Ontario,Development Envelopes,Contracted,English,N/A
Marinas MN,Productions GFP (IX) Inc.,2018 - 2019,Rich Interactive Media,$37;500.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Joe Fafard; l’oeuvre d’une vie,Rivard Uniques Inc.,2018 - 2019,N/A,$50;000.00,N/A,Production,Documentary,N/A,N/A,Manitoba,Performance Envelopes,Contracted,French,N/A
Raven’s Quest II,Florence Productions Inc.,2018 - 2019,N/A,$198;279.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Blue Box,Intuitive Pictures Productions Inc.,2018 - 2019,N/A,$25;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Ukelele U I,Wow Unlimited Media Inc.,2018 - 2019,N/A,$51;180.00,N/A,Development,Children's & Youth,N/A,N/A,British Columbia,Development Envelopes,Contracted,English,N/A
Sex-shop : Une affaire de famille,653461 NB Inc.,2018 - 2019,N/A,$21;425.00,N/A,Production,Documentary,N/A,N/A,New Brunswick,Performance Envelopes,Contracted,French,N/A
Tidoc’ – MN,GALA PRODUCTIONS INC.,2018 - 2019,Game,$20;000.00,N/A,Production,Children's & Youth,Application,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Tidoc’ – MN,GALA PRODUCTIONS INC.,2018 - 2019,Game,$126;319.00,,Production,Children's & Youth,Application,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Letterkenny ORIDG DIDG 4,New Metric Media Inc.,2018 - 2019,Web Series,$262;500.00,,Production,Drama,Streaming,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
High Arctic Haulers Interactive,GPM-Arctic Productions Inc.,2018 - 2019,Video,$150;000.00,N/A,Production,Documentary,Website,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
Death of a Ladies’ Man,Films DOALM Québec Inc.,2018 - 2019,N/A,$201;404.00,N/A,Production,Drama,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Cochon Dingue III – MN,9640568 Canada Inc.,2018 - 2019,Rich Interactive Media,$55;000.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Cochon Dingue III – MN,9640568 Canada Inc.,2018 - 2019,Rich Interactive Media,$83;492.00,,Production,Children's & Youth,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Paléo Quiz – MN,Productions Pixcom Inc.,2018 - 2019,Video,$5;000.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Paléo Quiz – MN,Productions Pixcom Inc.,2018 - 2019,Video,$5;000.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Paléo Quiz – MN,Productions Pixcom Inc.,2018 - 2019,Video,$88;423.00,,Production,Children's & Youth,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
David Saint-Jacques: mission spatiale – MN,7926766 Canada Inc.,2018 - 2019,Rich Interactive Media,$40;610.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
David Saint-Jacques: mission spatiale – MN,7926766 Canada Inc.,2018 - 2019,Rich Interactive Media,$107;910.00,,Production,Documentary,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Dernier passager (Le) IX – MN,Communications PR3 inc.,2018 - 2019,Game,$36;000.00,N/A,Production,Children's & Youth,Website,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Dernier passager (Le) IX – MN,Communications PR3 inc.,2018 - 2019,Game,$69;601.00,,Production,Children's & Youth,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Halifax Comedy Festival 2019 – DM,CBC,2018 - 2019,Social Media,$30;000.00,N/A,Production,Variety & Performing Arts,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Halifax Comedy Festival 2019 – DM,Canadian Broadcasting Corporation,2018 - 2019,Social Media,$370;000.00,,Production,Variety & Performing Arts,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Murdoch Mysteries XII – DM,CBC,2018 - 2019,Web Series,$30;000.00,N/A,Production,Drama,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Murdoch Mysteries XII – DM,Canadian Broadcasting Corporation,2018 - 2019,Web Series,$325;000.00,,Production,Drama,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Combattants : L’ultime série (Les) – MN,Productions Pixcom Inc.,2018 - 2019,Video,$76;261.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Combattants : L’ultime série (Les) – MN,Productions Pixcom Inc.,2018 - 2019,Video,$277;294.00,,Production,Documentary,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
You can’t ask that I,Productions Pixcom Inc.,2018 - 2019,N/A,$10;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
You can’t ask that I,Productions Pixcom Inc.,2018 - 2019,N/A,$32;676.00,N/A,Production,Documentary,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
Interstellar Ella I,Animation Ella Inc.,2018 - 2019,N/A,$343;076.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Interstellar Ella I,Animation Ella Inc.,2018 - 2019,N/A,$200;000.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Interstellar Ella I,Animation Ella Inc.,2018 - 2019,N/A,$78;000.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Interstellar Ella I,Animation Ella Inc.,2018 - 2019,N/A,$165;231.00,N/A,Production,Children's & Youth,N/A,N/A,Montreal,Anglophone Minority Incentive,Contracted,English,N/A
David Saint-Jacques: mission spatiale (anc. Mission 58/59),7926766 Canada Inc.,2019 - 2020,N/A,$104;269.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
David Saint-Jacques: mission spatiale (anc. Mission 58/59),7926766 Canada Inc.,2018 - 2019,N/A,$115;000.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
16 Hudson II – DM,Big Bad Boo Digital Inc.,2018 - 2019,Rich Interactive Media,$10;000.00,N/A,Production,Children's & Youth,Website,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
16 Hudson II – DM,Big Bad Boo Digital Inc.,2018 - 2019,Rich Interactive Media,$275;594.00,,Production,Children's & Youth,Website,N/A,British Columbia,Convergent Digital Media Incentive,Contracted,English,N/A
Madame Lebrun IV – MN,1R2D Inc.,2018 - 2019,Rich Interactive Media,$14;068.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Madame Lebrun IV – MN,1R2D Inc.,2018 - 2019,Rich Interactive Media,$137;240.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Animalogic IV: Where There’s Hope DM,Blue Ant Media Productions Inc.,2018 - 2019,Web Series,$486;986.00,,Production,Documentary,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Interstellar Ella – MN,Animation Ella Inc.,2018 - 2019,Game,$10;000.00,N/A,Production,Children's & Youth,Application,N/A,Montreal,Performance Envelopes,Contracted,English,N/A
Interstellar Ella – MN,Animation Ella Inc.,2018 - 2019,Game,$15;000.00,N/A,Production,Children's & Youth,Application,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Interstellar Ella – MN,Animation Ella Inc.,2018 - 2019,Game,$203;794.00,,Production,Children's & Youth,Application,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Kebec – MN,Zone3-XVI Inc.,2018 - 2019,Video,$50;000.00,N/A,Production,Documentary,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Kebec – MN,Zone3-XVI Inc.,2018 - 2019,Video,$84;213.00,,Production,Documentary,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Combattants : L’ultime série (Les),Productions Pixcom Inc.,2018 - 2019,N/A,$64;900.00,N/A,Production,Documentary,N/A,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Conseils de famille IV – MN,Productions KOTV II Inc.,2018 - 2019,Web Series,$60;000.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Conseils de famille IV – MN,Productions KOTV II Inc.,2018 - 2019,Web Series,$72;355.00,,Production,Children's & Youth,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Invisibles (Les) I – MN,10627933 Canada Inc.,2018 - 2019,Rich Interactive Media,$115;535.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Synvain Rénove – Tel que vu à TV I – MN,Synvain Rénove ComediHa! Inc.,2018 - 2019,Rich Interactive Media,$13;000.00,N/A,Production,Drama,Website,N/A,Quebec,Performance Envelopes,Contracted,French,N/A
Synvain Rénove – Tel que vu à TV I – MN,Synvain Rénove ComediHa! Inc.,2018 - 2019,Rich Interactive Media,$170;109.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Appelle moi si tu Meurs I – MN,Zone3-IX Inc.,2018 - 2019,Rich Interactive Media,$142;362.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Alix et les merveilleux – MN,Les Productions Avanti Ciné Vidéo Inc.,2018 - 2019,Game,$4;812.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Alix et les merveilleux – MN,Les Productions Avanti Ciné Vidéo Inc.,2018 - 2019,Game,$7;219.00,N/A,Production,Children's & Youth,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Alix et les merveilleux – MN,Les Productions Avanti Ciné Vidéo Inc.,2018 - 2019,Game,$141;845.00,,Production,Children's & Youth,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
Sounds of Canada III – DM,ECG Productions Ltd.,2018 - 2019,Web Series,$5;202.00,N/A,Production,Documentary,Website,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Sounds of Canada III – DM,ECG Productions Ltd.,2018 - 2019,Web Series,$325;000.00,,Production,Documentary,Website,N/A,Toronto,Convergent Digital Media Incentive,Contracted,English,N/A
Fear of dancing,Tortuga Films Productions IV inc,2018 - 2019,N/A,$369;950.00,N/A,Production,Documentary,N/A,N/A,Quebec,Performance Envelopes,Contracted,English,N/A
Fear of dancing,Tortuga Films Productions IV inc,2018 - 2019,N/A,$46;781.00,N/A,Production,Documentary,N/A,N/A,Quebec,Anglophone Minority Incentive,Contracted,English,N/A
Jeu (Le) I – MN,Amalga Créations Télé Inc.,2018 - 2019,Rich Interactive Media,$97;986.00,,Production,Drama,Website,N/A,Montreal,Convergent Digital Media Incentive,Contracted,French,N/A
