Project,Company,Year,Content_Type,Commitment,Broadcaster,Activity,Genre,Delivery Method,Round,Region,Program,Status,Language,Selection Round
No Limits DM,R2RKB Inc.,2014 - 2015,Rich Interactive Media,$56;250.00,N/A,Production,Documentary,Website,N/A,Ontario,English POV,Contracted,English,N/A
Santa Quest,Santa Quest Films Inc.,2014 - 2015,N/A,$161;873.00,N/A,Production,Documentary,N/A,N/A,Nova Scotia,English POV,Contracted,English,N/A
Santa Quest,Santa Quest Films Inc.,2014 - 2015,N/A,$34;000.00,N/A,Production,Documentary,N/A,N/A,Nova Scotia,English Regional Production Bonus,Contracted,English,N/A
I Can Dance! – DM,Atomic Cartoons (Dance I) Inc.,2014 - 2015,Game,$25;000.00,N/A,Production,Children's & Youth,Website,N/A,British Columbia,Performance Envelopes,Contracted,English,N/A
I Can Dance! – DM,Atomic Cartoons (Dance I) Inc.,2014 - 2015,Game,$23;599.00,,Production,Children's & Youth,Website,N/A,British Columbia,Convergent Digital Media Incentive,Contracted,English,N/A
Banger TV – DM,Blue Ant Media Productions Inc.,2014 - 2015,Video,$235;988.00,,Production,Documentary,Website,1,Ontario,Convergent Digital Media Incentive,Contracted,English,1
Appendices (Les) VII – MN,Productions Marie Brissette Inc. FUSIONNÉE DANS #154697 Prod KOTV,2014 - 2015,Rich Interactive Media,$65;420.00,N/A,Production,Drama,Website,N/A,Montreal,Performance Envelopes,Contracted,French,N/A
Appendices (Les) VII – MN,Productions Marie Brissette Inc. FUSIONNÉE DANS #154697 Prod KOTV,2014 - 2015,Rich Interactive Media,$37;549.00,,Production,Drama,Website,N/A,Quebec,Convergent Digital Media Incentive,Contracted,French,N/A
Murdoch Mysteries VIII (97-114),Shaftesbury Murdoch VIII Inc.,2014 - 2015,N/A,$6;000;000.00,N/A,Production,Drama,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Metal Evolution: The Albums,Blue Ant HDTV Productions Inc.,2014 - 2015,N/A,$70;000.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Gordon Pinsent Documentary (The),2445881 Ontario Inc.,2014 - 2015,N/A,$252;532.00,N/A,Production,Documentary,N/A,N/A,Ontario,English POV,Contracted,English,N/A
No Limits,R2RKB Inc.,2014 - 2015,N/A,$300;000.00,N/A,Production,Documentary,N/A,N/A,Ontario,English POV,Contracted,English,N/A
No Limits,R2RKB Inc.,2014 - 2015,N/A,$46;797.00,N/A,Production,Documentary,N/A,N/A,Toronto,Performance Envelopes,Contracted,English,N/A
Saving Hope: Psychic Healing,Hope Zee Three Inc.,2014 - 2015,Video,$46;017.00,,Production,Drama,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Dino Hunt Canada I – Interactive,Secret Location Inc.,2014 - 2015,Rich Interactive Media,$157;325.00,,Production,Documentary,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Lost Girl V – DM,Bo Series 5 Inc.,2014 - 2015,Video,$56;637.00,,Production,Drama,Website,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
Next Step (The) III Interactive – Dance Academy App,Temple Dance III Productions Limited,2014 - 2015,Rich Interactive Media,$141;592.00,,Production,Children's & Youth,Application,N/A,Ontario,Convergent Digital Media Incentive,Contracted,English,N/A
